Instance_Name,Algo_Type,Source,Target,k,#V,#E,#V_stPaths,#E_stPaths,#stPaths,Avg_stPath_Length,Milliseconds, PrepMillisec,Diversity, UnweightedDiv, MinDiv, MaxDiv, MinUnw, MaxUnw
wikivote.txt.gz,KBest,1292,3486,10,7115,103689,79,241,171,4.0,17,17,328.0,328.0,4.0,8.0,4.0,8.0
wikivote.txt.gz,Diverse,7431,1166,10,7115,103689,47,101,56,4.0,20,17,264.0,264.0,4.0,6.0,4.0,6.0
wikivote.txt.gz,KBest,7431,1166,10,7115,103689,47,101,56,4.0,17,17,238.0,238.0,4.0,6.0,4.0,6.0
wikivote.txt.gz,Diverse,713,6388,10,7115,103689,83,242,161,4.0,28,16,270.0,270.0,6.0,6.0,6.0,6.0
wikivote.txt.gz,KBest,713,6388,10,7115,103689,83,242,161,4.0,16,16,242.0,242.0,4.0,6.0,4.0,6.0
wikivote.txt.gz,Diverse,4383,4448,10,7115,103689,50,99,56,4.0,21,18,334.0,334.0,6.0,8.0,6.0,8.0
wikivote.txt.gz,KBest,4383,4448,10,7115,103689,50,99,56,4.0,18,18,302.0,302.0,4.0,8.0,4.0,8.0
wikivote.txt.gz,Diverse,4908,204,10,7115,103689,37,67,32,4.0,19,18,264.0,264.0,4.0,6.0,4.0,6.0
wikivote.txt.gz,KBest,4908,204,10,7115,103689,37,67,32,4.0,18,18,238.0,238.0,4.0,6.0,4.0,6.0
wikivote.txt.gz,Diverse,900,4778,10,7115,103689,35,73,41,4.0,17,15,320.0,320.0,6.0,8.0,6.0,8.0
wikivote.txt.gz,KBest,900,4778,10,7115,103689,35,73,41,4.0,15,15,280.0,280.0,4.0,8.0,4.0,8.0
wikivote.txt.gz,Diverse,73,5499,10,7115,103689,27,56,35,4.0,18,17,342.0,342.0,4.0,8.0,4.0,8.0
wikivote.txt.gz,KBest,73,5499,10,7115,103689,27,56,35,4.0,17,17,304.0,304.0,4.0,8.0,4.0,8.0
wikivote.txt.gz,Diverse,1200,3713,10,7115,103689,31,61,32,3.0,16,15,256.0,256.0,4.0,6.0,4.0,6.0
wikivote.txt.gz,KBest,1200,3713,10,7115,103689,31,61,32,3.0,15,15,246.0,246.0,4.0,6.0,4.0,6.0
wikivote.txt.gz,Diverse,7299,6951,10,7115,103689,55,109,56,5.0,20,17,270.0,270.0,6.0,6.0,6.0,6.0
wikivote.txt.gz,KBest,7299,6951,10,7115,103689,55,109,56,5.0,17,17,246.0,246.0,4.0,6.0,4.0,6.0
wikivote.txt.gz,Diverse,2067,308,10,7115,103689,44,82,55,5.0,18,16,360.0,360.0,8.0,8.0,8.0,8.0
wikivote.txt.gz,KBest,2067,308,10,7115,103689,44,82,55,5.0,16,16,298.0,298.0,4.0,8.0,4.0,8.0
wikivote.txt.gz,Diverse,5192,3104,10,7115,103689,45,102,59,4.0,19,16,270.0,270.0,6.0,6.0,6.0,6.0
